iso3,country,disaggregation,disagg.value,region,subregion,section,anaemia_plan,blood_pressure_plan,BN_ODA_donated_2011,BN_ODA_donated_2012,BN_ODA_donated_2013,BN_ODA_donated_2014,BN_ODA_donated_2015,BN_ODA_donated_2016,BN_ODA_donated_2017,BN_ODA_donated_2018,BN_ODA_donated_2019,BN_ODA_donated_2020,BN_ODA_donated_percent_2011,BN_ODA_donated_percent_2012,BN_ODA_donated_percent_2013,BN_ODA_donated_percent_2014,BN_ODA_donated_percent_2015,BN_ODA_donated_percent_2016,BN_ODA_donated_percent_2017,BN_ODA_donated_percent_2018,BN_ODA_donated_percent_2019,BN_ODA_donated_percent_2020,BN_ODA_received_2011,BN_ODA_received_2012,BN_ODA_received_2013,BN_ODA_received_2014,BN_ODA_received_2015,BN_ODA_received_2016,BN_ODA_received_2017,BN_ODA_received_2018,BN_ODA_received_2019,BN_ODA_received_2020,BN_ODA_received_percent_2011,BN_ODA_received_percent_2012,BN_ODA_received_percent_2013,BN_ODA_received_percent_2014,BN_ODA_received_percent_2015,BN_ODA_received_percent_2016,BN_ODA_received_percent_2017,BN_ODA_received_percent_2018,BN_ODA_received_percent_2019,BN_ODA_received_percent_2020,child_ad_policy,child_overweight_plan,diabetes_plan,diabetes_policy,diarrhea_zinc_2005,diarrhea_zinc_2006,diarrhea_zinc_2007,diarrhea_zinc_2008,diarrhea_zinc_2009,diarrhea_zinc_2010,diarrhea_zinc_2011,diarrhea_zinc_2012,diarrhea_zinc_2013,diarrhea_zinc_2014,diarrhea_zinc_2015,diarrhea_zinc_2016,diarrhea_zinc_2017,diarrhea_zinc_2018,diarrhea_zinc_2019,diarrhea_zinc_2020,diarrhea_zinc_2021,EBF_plan,fbdg,iodised_salt_2000,iodised_salt_2001,iodised_salt_2002,iodised_salt_2003,iodised_salt_2004,iodised_salt_2005,iodised_salt_2006,iodised_salt_2007,iodised_salt_2008,iodised_salt_2009,iodised_salt_2010,iodised_salt_2011,iodised_salt_2012,iodised_salt_2013,iodised_salt_2014,iodised_salt_2015,iodised_salt_2016,iodised_salt_2017,iodised_salt_2018,iodised_salt_2019,iodised_salt_2020,iron_supp_2004,iron_supp_2005,iron_supp_2006,iron_supp_2007,iron_supp_2008,iron_supp_2009,iron_supp_2010,iron_supp_2011,iron_supp_2012,iron_supp_2013,iron_supp_2014,iron_supp_2015,iron_supp_2016,iron_supp_2017,iron_supp_2018,iron_supp_2019,iron_supp_2021,iron_tablets_2000,iron_tablets_2001,iron_tablets_2002,iron_tablets_2003,iron_tablets_2004,iron_tablets_2005,iron_tablets_2006,iron_tablets_2007,iron_tablets_2008,iron_tablets_2009,iron_tablets_2010,iron_tablets_2011,iron_tablets_2012,iron_tablets_2013,iron_tablets_2014,iron_tablets_2015,iron_tablets_2016,iron_tablets_2017,iron_tablets_2018,iron_tablets_2019,iron_tablets_2021,LBW_plan,multi_sec,NCD_policy,NCD_unhealthy,overweight_adults_adoles_plan,salt_leg,saturated_fatty_acids_policy,sodium_plan,sodium_policy,stunting_plan,sugar_tax,Total_ODA_donated_2011,Total_ODA_donated_2012,Total_ODA_donated_2013,Total_ODA_donated_2014,Total_ODA_donated_2015,Total_ODA_donated_2016,Total_ODA_donated_2017,Total_ODA_donated_2018,Total_ODA_donated_2019,Total_ODA_donated_2020,Total_ODA_received_2011,Total_ODA_received_2012,Total_ODA_received_2013,Total_ODA_received_2014,Total_ODA_received_2015,Total_ODA_received_2016,Total_ODA_received_2017,Total_ODA_received_2018,Total_ODA_received_2019,Total_ODA_received_2020,trans_fatty_acids_policy,vit_a_2000,vit_a_2001,vit_a_2002,vit_a_2003,vit_a_2004,vit_a_2005,vit_a_2006,vit_a_2007,vit_a_2008,vit_a_2009,vit_a_2010,vit_a_2011,vit_a_2012,vit_a_2013,vit_a_2014,vit_a_2015,vit_a_2016,vit_a_2017,vit_a_2018,vit_a_2019,vit_a_2020,wasting_plan
AFG,Afghanistan,mothers_age,Under 20,Asia,Southern Asia,Nutrition strategies and financing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AFG,Afghanistan,sex,Female,Asia,Southern Asia,Nutrition strategies and financing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.1,,,,9.2,,,38.3,,,,,,,,,,,,,,,,,66.16,,,,61.9,,,,,,,,,,,,,,,,,6.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AFG,Afghanistan,sex,Male,Asia,Southern Asia,Nutrition strategies and financing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.4,,,,10,,,34.7,,,,,,,,,,,,,,,,,54.68,,,,56.51,,,,,,,,,,,,,,,,,6.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AFG,Afghanistan,total,Total,Asia,Southern Asia,Nutrition strategies and financing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.3,,,,9.6,,,36.6,,,,,,,,,,28.3,,,,,,,54.78,,,,56.61,,,,,,,,,,,,,,,,,6.3,,,,,,,,,,,,,,,,,,,,,42.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58,76,94,71,95,91,84,92,96,95,96,99,,97,95,98,90,95,93,51,0,
AFG,Afghanistan,wealth,Fourth,Asia,Southern Asia,Nutrition strategies and financing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.3,,,,9.6,,,35.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AFG,Afghanistan,wealth,Highest,Asia,Southern Asia,Nutrition strategies and financing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78.42,,,,86.83,,,,,,,,,,,,,,,,,9.4,,,,,,,,,,,,,,,,,,,,,55.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AFG,Afghanistan,wealth,Lowest,Asia,Southern Asia,Nutrition strategies and financing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.13,,,,25.92,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AFG,Afghanistan,wealth,Middle,Asia,Southern Asia,Nutrition strategies and financing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,10.3,,,41.3,,,,,,,,,,,,,,,,,54.42,,,,55.86,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,39.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AFG,Afghanistan,wealth,Poorest,Asia,Southern Asia,Nutrition strategies and financing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.7,,,,10.3,,,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AFG,Afghanistan,wealth,Richest,Asia,Southern Asia,Nutrition strategies and financing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.6,,,,6.9,,,33.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AFG,Afghanistan,wealth,Second,Asia,Southern Asia,Nutrition strategies and financing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,11,,,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AFG,Afghanistan,wealth,Second highest,Asia,Southern Asia,Nutrition strategies and financing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65.64,,,,72.01,,,,,,,,,,,,,,,,,5.9,,,,,,,,,,,,,,,,,,,,,44.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AFG,Afghanistan,wealth,Second lowest,Asia,Southern Asia,Nutrition strategies and financing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.75,,,,42.03,,,,,,,,,,,,,,,,,6.2,,,,,,,,,,,,,,,,,,,,,35.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AGO,Angola,all,,Africa,Middle Africa,Nutrition strategies and financing,No,No,,,,,,,,,,,,,,,,,,,,,3.73,3.47,10.7,1.96,0.54,3.58,0.43,0.51,0.01,2.91,1.52,1.18,3.23,0.69,0.11,1.19,0.14,0.21,0,1.58,No,No,No,No,,,,,,,,,,,,,,,,,,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,No,No,Yes,Yes,Yes,Don't know,No,No,Yes,No,,,,,,,,,,,245.54,292.85,331.28,284.28,501.12,302.31,311.17,247.57,227.3,184.53,Don't know,,,,,,,,,,,,,,,,,,,,,,Yes
AGO,Angola,education,Higher,Africa,Middle Africa,Nutrition strategies and financing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AGO,Angola,education,None,Africa,Middle Africa,Nutrition strategies and financing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AGO,Angola,education,Primary,Africa,Middle Africa,Nutrition strategies and financing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AGO,Angola,education,Secondary,Africa,Middle Africa,Nutrition strategies and financing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AGO,Angola,location,Rural,Africa,Middle Africa,Nutrition strategies and financing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.9,,,,,,,,,,,,,,71.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AGO,Angola,location,Urban,Africa,Middle Africa,Nutrition strategies and financing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58.67,,,,,,,,,,,,,,89.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AGO,Angola,mothers_age,20-34,Africa,Middle Africa,Nutrition strategies and financing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AGO,Angola,mothers_age,35-49,Africa,Middle Africa,Nutrition strategies and financing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AGO,Angola,mothers_age,Under 20,Africa,Middle Africa,Nutrition strategies and financing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AGO,Angola,sex,Female,Africa,Middle Africa,Nutrition strategies and financing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.34,,,,,,,,,,,,,,83.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AGO,Angola,sex,Male,Africa,Middle Africa,Nutrition strategies and financing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58.29,,,,,,,,,,,,,,81.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AGO,Angola,total,Total,Africa,Middle Africa,Nutrition strategies and financing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56.68,,,,,,,,,,,,,,82.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64,68,7,65,80,36,82,28,28,55,44,48,6,14,,3,4,5,,
AGO,Angola,wealth,Highest,Africa,Middle Africa,Nutrition strategies and financing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59.39,,,,,,,,,,,,,,96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AGO,Angola,wealth,Lowest,Africa,Middle Africa,Nutrition strategies and financing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.41,,,,,,,,,,,,,,69.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AGO,Angola,wealth,Middle,Africa,Middle Africa,Nutrition strategies and financing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57.82,,,,,,,,,,,,,,84.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AGO,Angola,wealth,Second highest,Africa,Middle Africa,Nutrition strategies and financing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.3,,,,,,,,,,,,,,93.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AGO,Angola,wealth,Second lowest,Africa,Middle Africa,Nutrition strategies and financing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.55,,,,,,,,,,,,,,72.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALB,Albania,all,,Europe,Southern Europe,Nutrition strategies and financing,No,Yes,,,,,,,,,,,,,,,,,,,,,0.03,0.03,0.02,0.01,0.03,0.01,0.07,0.01,0.02,0.04,0.01,0.01,0.01,0,0.01,0,0.02,0,0.01,0.01,Yes,No,No,Yes,,,,,,,,,,,,,,,,,,No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,No,Yes,Yes,Yes,Yes,No,No,No,No,No,,,,,,,,,,,395.29,379.98,310.93,337.44,431.36,325.78,297.87,466.62,322.16,441.9,No,,,,,,,,,,,,,,,,,,,,,,No
